amazon-web-services,"[1, 0]"
image-uploading,"[1, 0]"
pthreads,"[1, 0]"
firebase-database,"[1, 1]"
ruby-on-rails,"[1, 2]"
reactjs,"[1, 0]"
http-status-code-405,"[1, 0]"
ibm,"[1, 1]"
module,"[1, 0]"
three.js,"[1, 2]"
avplayer,"[1, 0]"
visual-studio-2010,"[1, 0]"
regex,"[2, 1]"
vxworks,"[1, 0]"
ionic2,"[1, 0]"
file,"[1, 0]"
android-layout,"[1, 1]"
localbroadcastmanager,"[1, 1]"
templates,"[1, 0]"
snackbar,"[1, 2]"
react-native-android,"[1, 0]"
redux-framework,"[1, 0]"
julia-lang,"[1, 0]"
google-chrome,"[2, 0]"
angular2-routing,"[1, 1]"
css,"[3, 38]"
arrays,"[2, 1]"
solr,"[1, 1]"
jquery,"[1, 3]"
push-notification,"[1, 0]"
camera,"[1, 2]"
char,"[1, 1]"
android-notification-bar,"[1, 1]"
tweepy,"[1, 0]"
mariadb,"[1, 1]"
parse-server,"[1, 1]"
windows-phone-8.1,"[1, 1]"
android-intent,"[2, 0]"
embedded,"[1, 0]"
avplayeritem,"[1, 0]"
csv,"[2, 0]"
react-native,"[1, 0]"
php,"[5, 4]"
xcode,"[1, 2]"
android-transitions,"[1, 0]"
ionic-framework,"[3, 0]"
openshift,"[1, 0]"
jpa,"[1, 2]"
relayjs,"[1, 0]"
pointers,"[1, 0]"
multithreading,"[1, 0]"
signals,"[1, 0]"
workbench,"[1, 0]"
mysql,"[5, 9]"
image,"[1, 0]"
python-2.7,"[1, 0]"
angularjs,"[4, 1]"
ruby,"[1, 2]"
twitch,"[1, 1]"
video,"[3, 1]"
nginx,"[1, 0]"
maven,"[1, 0]"
serial-port,"[1, 0]"
sass,"[1, 0]"
firebase-security,"[1, 1]"
angular-ui-router,"[1, 0]"
uipickerview,"[1, 1]"
function,"[1, 0]"
xib,"[1, 2]"
iphone,"[2, 1]"
signal-handling,"[1, 0]"
visual-studio,"[2, 3]"
sql-server-2014,"[1, 0]"
wso2,"[1, 0]"
sql-server,"[1, 0]"
xml,"[2, 1]"
tsql,"[1, 0]"
angularfire2,"[1, 0]"
video-editing,"[1, 0]"
if-statement,"[1, 7]"
uitableview,"[1, 2]"
django-allauth,"[1, 0]"
django-rest-framework,"[1, 0]"
asp.net,"[2, 2]"
android-5.0-lollipop,"[1, 1]"
rotation,"[1, 2]"
root,"[1, 1]"
smart-pointers,"[1, 1]"
recaptcha,"[1, 0]"
ngmodel,"[1, 0]"
c#,"[2, 1]"
string,"[2, 8]"
pattern-matching,"[1, 1]"
wrapper,"[1, 0]"
i18n-gem,"[1, 2]"
html,"[3, 0]"
entity-framework,"[1, 2]"
sql,"[2, 2]"
multidimensional-array,"[1, 1]"
data-structures,"[1, 0]"
office365,"[1, 1]"
resteasy,"[1, 0]"
mamp,"[1, 0]"
websphere-mq,"[1, 1]"
libgit2sharp,"[1, 0]"
swift-playground,"[1, 1]"
heroku,"[1, 1]"
google-maps,"[1, 0]"
jsdoc3,"[1, 0]"
dictionary,"[1, 2]"
stripe-payments,"[1, 1]"
twitter-bootstrap,"[1, 0]"
node.js,"[2, 1]"
realm,"[1, 2]"
javascript,"[9, 7]"
configuration,"[1, 2]"
stored-procedures,"[1, 2]"
python-3.5,"[1, 0]"
web-services,"[1, 0]"
osx,"[1, 0]"
jsdoc,"[1, 0]"
xamarin.android,"[1, 0]"
telerik,"[1, 0]"
gdi+,"[1, 2]"
algorithm,"[1, 1]"
stripe-connect,"[1, 1]"
titanium,"[1, 0]"
hibernate,"[1, 2]"
splunk,"[1, 0]"
formatting,"[1, 1]"
validation,"[2, 6]"
vb.net,"[1, 2]"
firebase,"[1, 1]"
java,"[6, 11]"
nsarray,"[1, 1]"
phantomjs,"[1, 1]"
cross-browser,"[1, 33]"
tiff,"[1, 2]"
css-preprocessor,"[1, 0]"
wso2esb,"[1, 0]"
statusbar,"[1, 1]"
android-broadcast,"[1, 1]"
google-chrome-extension,"[2, 0]"
c++,"[6, 3]"
android-animation,"[1, 0]"
android,"[11, 5]"
ajax,"[1, 0]"
eclipse,"[1, 0]"
c,"[3, 10]"
aggregate,"[1, 0]"
ffprobe,"[1, 0]"
queue,"[1, 0]"
canvas,"[1, 0]"
html-table,"[1, 5]"
ios,"[7, 5]"
r,"[1, 1]"
angularjs-directive,"[1, 1]"
scroll,"[1, 0]"
service,"[1, 0]"
android-studio,"[1, 0]"
html5,"[1, 0]"
google-bigquery,"[1, 0]"
autohotkey,"[1, 0]"
python,"[10, 5]"
broadcastreceiver,"[1, 1]"
dji-sdk,"[1, 0]"
frameworks,"[1, 1]"
c++14,"[1, 1]"
orientation,"[1, 2]"
laravel,"[1, 1]"
arm,"[1, 0]"
numbers,"[1, 6]"
windows,"[2, 0]"
binary-tree,"[1, 0]"
assembly,"[1, 0]"
animation,"[1, 1]"
payment,"[1, 0]"
graphql-js,"[1, 0]"
margins,"[1, 1]"
c++11,"[1, 1]"
listview,"[1, 1]"
powershell,"[2, 2]"
json,"[3, 0]"
highcharts,"[1, 2]"
angular2,"[2, 1]"
swift,"[2, 3]"
django,"[2, 0]"
client-side,"[1, 0]"
drone,"[1, 0]"
shoes,"[1, 0]"
webpack,"[1, 0]"
rails-i18n,"[1, 2]"
list,"[2, 4]"
exchange-server,"[1, 1]"
jboss,"[1, 0]"
dom,"[1, 0]"
ffmpeg,"[2, 1]"
vertical-alignment,"[1, 33]"
sql-server-2008,"[1, 2]"
python-3.x,"[2, 0]"
google-recaptcha,"[1, 0]"
memory,"[1, 0]"
nodes,"[1, 0]"
